Tytuł,Cena,Dostępność,Ocena,Obrazek
A Light in the Attic,£51.77,In stock,Three,images-scraper/book_1.jpg
Tipping the Velvet,£53.74,In stock,One,images-scraper/book_2.jpg
Soumission,£50.10,In stock,One,images-scraper/book_3.jpg
Sharp Objects,£47.82,In stock,Four,images-scraper/book_4.jpg
Sapiens: A Brief History of Humankind,£54.23,In stock,Five,images-scraper/book_5.jpg
The Requiem Red,£22.65,In stock,One,images-scraper/book_6.jpg
The Dirty Little Secrets of Getting Your Dream Job,£33.34,In stock,Four,images-scraper/book_7.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,In stock,Three,images-scraper/book_8.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,In stock,Four,images-scraper/book_9.jpg
The Black Maria,£52.15,In stock,One,images-scraper/book_10.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,In stock,Two,images-scraper/book_11.jpg
Shakespeare's Sonnets,£20.66,In stock,Four,images-scraper/book_12.jpg
Set Me Free,£17.46,In stock,Five,images-scraper/book_13.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In stock,Five,images-scraper/book_14.jpg
Rip it Up and Start Again,£35.02,In stock,Five,images-scraper/book_15.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,In stock,Three,images-scraper/book_16.jpg
Olio,£23.88,In stock,One,images-scraper/book_17.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock,One,images-scraper/book_18.jpg
Libertarianism for Beginners,£51.33,In stock,Two,images-scraper/book_19.jpg
It's Only the Himalayas,£45.17,In stock,Two,images-scraper/book_20.jpg
